srcFormName,srcFieldName,dstFieldNames,DMN_name,expression
Заявка на технологическое присоединение,ApplicantType,"{'empty', 'securityDataProvider'}",,empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,DeviceAddrNotFound,"{'Code', 'fields'}",,fields['p_DeviceAddrMatchWith'].Code eq '32886'
Заявка на технологическое присоединение,PUSerialNumber,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_ScanDopDogovor,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_ScanDopDogovor,"{'empty', 'ScanDopDogovor', 'p_ContractTransferType'}",,fields.p_ContractTransferType.Code eq '7185643' and !empty fields.ScanDopDogovor
Заявка на технологическое присоединение,PaperGPDocsSendDate,"{'PaperGPDocsSend', 'true'}",,fields.PaperGPDocsSend eq true
Заявка на технологическое присоединение,PaperGPDocsSendDate,"{'PaperGPDocsSend', 'true'}",,fields.PaperGPDocsSend eq true
Заявка на технологическое присоединение,sign_ScanActTU,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_ScanActTU,"{'empty', 'p_ContractTransferType', 'ScanActTU'}",,fields.p_ContractTransferType.Code eq '7185643' and !empty fields.ScanActTU
Заявка на технологическое присоединение,Filial,{'true'},,true
Заявка на технологическое присоединение,Filial,{'true'},,true
Заявка на технологическое присоединение,Filial,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or (securityDataProvider.hasRole('tehprisEE_portalUserRegistrator')) or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,Date_TUCheck,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_ScanActTP,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_ScanActTP,"{'empty', 'p_ContractTransferType', 'ScanActTP'}",,fields.p_ContractTransferType.Code eq '7185643' and !empty fields.ScanActTP
Заявка на технологическое присоединение,SignFirstName,"{'fields', 'true'}",,fields['SignFL'] eq true or fields['SignUL'] eq true
